IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7310 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 1541 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 7195 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 187748 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 747627 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 747627 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:34', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 747627 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 22379 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:33', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 84880 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
157.36.23.15 	 ['[06/Mar/2022:09:22:34', '+0530]'] 	  GET 	 HTTP/1.0  	 200 	 16533 	 [' Mozilla/5.0', '(Linux;', 'Android', '11;', 'Redmi', 'Note', '8)', 'AppleWebKit/537.36', '(KHTML,', 'like', 'Gecko)', 'Chrome/98.0.4758.101', 'Mobile', 'Safari/537.36 \n'] 	IP 	 Datetime	 Requesttype	 protocol	 statuscode	 filesize	 useragentdetails	
